id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
447,1714,,350,258,0,0,62,39,8,X,X,58,258,18,21,t,t,aceptados/1714.jpg,258,258,258,258,17/11/2021 10:59:14,2021/11/17 10:59:24,2021/11/17 11:01:28,
538,1914,,350,295,0,0,74,48,10,X,X,69,295,20,22,t,t,aceptados/1914.jpg,295,295,295,295,17/11/2021 12:01:30,2021/11/17 12:01:51,2021/11/17 12:01:50,
311,1578,,350,273,0,0,58,63,7,X,X,42,273,24,25,t,t,aceptados/1578.jpg,273,273,273,273,17/11/2021 09:53:39,2021/11/17 09:53:39,2021/11/17 09:53:51,
271,1531,,350,272,0,0,53,60,7,X,X,37,272,43,42,t,t,aceptados/1531.jpg,272,272,272,272,17/11/2021 19:02:41,2021/11/17 19:02:44,2021/11/17 19:02:44,
485,1752,,348,269,0,0,62,39,8,X,X,62,269,24,17,t,t,aceptados/1752.jpg,269,269,269,269,17/11/2021 11:17:52,2021/11/17 11:18:39,2021/11/17 11:18:52,
564,2078,,348,287,0,0,92,56,13,X,X,76,287,24,21,t,t,aceptados/2078.jpg,287,287,287,287,17/11/2021 12:48:05,2021/11/17 12:48:15,2021/11/17 12:48:22,
15,1215,,350,267,0,0,33,32,4,X,X,3,267,2,32,t,t,aceptados/1215.jpg,267,267,267,267,16/11/2021 20:25:02,2021/11/16 20:25:05,2021/11/16 20:25:02,
277,1537,,349,270,0,0,53,60,7,X,X,38,270,22,21,t,t,aceptados/1537.jpg,270,270,270,270,17/11/2021 18:41:12,2021/11/17 18:41:36,2021/11/17 18:41:20,
74,1274,,347,264,0,0,34,32,4,X,X,9,264,2,32,t,t,aceptados/1274.jpg,264,264,264,264,16/11/2021 20:40:15,2021/11/16 20:50:36,2021/11/16 20:46:09,
611,2200,,350,266,0,0,107,43,15,X,X,82,267,22,21,t,t,aceptados/2200.jpg,266,267,266,267,17/11/2021 19:21:43,2021/11/17 19:22:49,2021/11/17 19:22:27,
