id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
32,2262,,350,286,0,0,130,23,19,X,X,3,286,55,36,t,t,aceptados/2262.JPG,286,286,286,286,25/10/2017 18:30:06,2017/10/25 18:30:29,2017/10/25 18:30:27,
25,2255,,351,289,0,0,130,23,19,X,X,3,289,55,36,t,t,aceptados/2255.JPG,289,289,289,289,25/10/2017 18:07:06,2017/10/25 18:09:45,2017/10/25 18:09:04,
71,2301,,350,288,0,0,130,23,19,X,X,5,288,55,48,t,t,aceptados/2301.JPG,288,288,288,288,25/10/2017 19:33:42,2017/10/25 19:44:47,2017/10/25 19:36:35,
48,2278,,350,264,0,0,130,23,19,X,X,4,264,55,48,t,t,aceptados/2278.JPG,264,264,264,264,25/10/2017 19:00:46,2017/10/25 19:10:31,2017/10/25 19:07:57,
20,2192,,350,263,0,0,122,6,17,X,X,8,263,83,36,t,t,aceptados/2192.JPG,263,263,263,263,25/10/2017 17:52:38,2017/10/25 17:52:42,2017/10/25 17:52:42,
17,2189,,350,270,0,0,122,6,17,X,X,8,270,55,36,t,t,aceptados/2189.JPG,270,270,270,270,25/10/2017 18:07:19,2017/10/25 18:07:23,2017/10/25 18:07:21,
28,2258,,351,288,0,0,130,23,19,X,X,3,288,55,36,t,t,aceptados/2258.JPG,288,288,288,288,25/10/2017 18:30:53,2017/10/25 18:31:03,2017/10/25 18:30:57,
52,2282,,350,261,0,0,130,23,19,X,X,4,261,55,48,t,t,aceptados/2282.JPG,261,261,261,261,25/10/2017 19:26:20,2017/10/25 19:33:49,2017/10/25 19:27:00,
26,2256,,350,272,0,0,130,23,19,X,X,3,272,83,36,t,t,aceptados/2256.JPG,272,272,272,272,25/10/2017 18:07:59,2017/10/25 18:09:52,2017/10/25 18:09:26,
55,2285,,350,283,0,0,130,23,19,X,X,4,283,55,48,t,t,aceptados/2285.JPG,283,283,283,283,25/10/2017 19:23:37,2017/10/25 19:35:01,2017/10/25 19:28:22,
1,1168,,350,236,0,0,32,10,3,X,X,7,236,8,36,t,t,aceptados/1168.JPG,236,236,236,236,25/10/2017 09:37:47,2017/10/25 09:37:51,2017/10/25 09:38:16,
19,2191,,350,279,0,0,122,6,17,X,X,8,279,83,36,t,t,aceptados/2191.JPG,279,279,279,279,25/10/2017 18:07:40,2017/10/25 18:09:06,2017/10/25 18:08:14,
21,2193,,350,279,0,0,122,6,17,X,X,8,279,83,36,t,t,aceptados/2193.JPG,279,279,279,279,25/10/2017 17:52:28,2017/10/25 17:52:32,2017/10/25 17:52:32,
49,2279,,350,280,0,0,130,23,19,X,X,4,280,55,48,t,t,aceptados/2279.JPG,280,280,280,280,25/10/2017 19:00:16,2017/10/25 19:11:13,2017/10/25 19:08:53,
31,2261,,350,267,0,0,130,23,19,X,X,3,267,55,36,t,t,aceptados/2261.JPG,267,267,267,267,25/10/2017 19:04:55,2017/10/25 19:07:06,2017/10/25 19:06:41,
68,2298,,350,285,0,0,130,23,19,X,X,5,285,55,48,t,t,aceptados/2298.JPG,285,285,285,285,25/10/2017 19:35:24,2017/10/25 19:43:07,2017/10/25 19:35:43,
